place_id,place_name,qdate,hpi_type,hpi_flavor,frequency,level,hpi_index,log_hpi,hpi_g
AK,Alaska,1991-01-01,traditional,purchase-only,quarterly,State,100.0,4.605170185988092,
AK,Alaska,1991-04-01,traditional,purchase-only,quarterly,State,100.31,4.608265390895394,0.3095204907301863
AK,Alaska,1991-07-01,traditional,purchase-only,quarterly,State,101.5,4.620058798481842,1.179340758644809
AK,Alaska,1991-10-01,traditional,purchase-only,quarterly,State,102.61,4.630935393874117,1.087659539227559
AK,Alaska,1992-01-01,traditional,purchase-only,quarterly,State,103.02,4.634923144137439,0.39877502633220985
AK,Alaska,1992-04-01,traditional,purchase-only,quarterly,State,103.87,4.64314011723972,0.8216973102280534
AK,Alaska,1992-07-01,traditional,purchase-only,quarterly,State,104.61,4.650239149355669,0.70990321159492
AK,Alaska,1992-10-01,traditional,purchase-only,quarterly,State,104.65,4.650621448892009,0.03822995363398363
AK,Alaska,1993-01-01,traditional,purchase-only,quarterly,State,105.02,4.654150808209713,0.35293593177039284
AK,Alaska,1993-04-01,traditional,purchase-only,quarterly,State,106.67,4.669739956637391,1.5589148427678445
AK,Alaska,1993-07-01,traditional,purchase-only,quarterly,State,107.86,4.680834089909081,1.1094133271689621
AK,Alaska,1993-10-01,traditional,purchase-only,quarterly,State,110.94,4.708989514627088,2.815542471800736
AK,Alaska,1994-01-01,traditional,purchase-only,quarterly,State,111.25,4.711779921046349,0.27904064192609823
AK,Alaska,1994-04-01,traditional,purchase-only,quarterly,State,111.37,4.712857991405009,0.10780703586599216
AK,Alaska,1994-07-01,traditional,purchase-only,quarterly,State,112.0,4.718498871295094,0.5640879890084882
AK,Alaska,1994-10-01,traditional,purchase-only,quarterly,State,111.94,4.717963013463214,-0.053585783188037084
AK,Alaska,1995-01-01,traditional,purchase-only,quarterly,State,114.55,4.741011408899505,2.3048395436291003
AK,Alaska,1995-04-01,traditional,purchase-only,quarterly,State,115.95,4.753159063701541,1.2147654802036278
AK,Alaska,1995-07-01,traditional,purchase-only,quarterly,State,117.19,4.763796549270511,1.0637485568969929
AK,Alaska,1995-10-01,traditional,purchase-only,quarterly,State,118.23,4.772631879875022,0.8835330604511249
AK,Alaska,1996-01-01,traditional,purchase-only,quarterly,State,120.58,4.79231343306126,1.9681553186237544
AK,Alaska,1996-04-01,traditional,purchase-only,quarterly,State,120.78,4.793970708879755,0.1657275818494952
AK,Alaska,1996-07-01,traditional,purchase-only,quarterly,State,119.99,4.787408405976297,-0.6562302903457606
AK,Alaska,1996-10-01,traditional,purchase-only,quarterly,State,124.0,4.820281565605037,3.2873159628739934
AK,Alaska,1997-01-01,traditional,purchase-only,quarterly,State,123.25,4.814214812922799,-0.6066752682237997
AK,Alaska,1997-04-01,traditional,purchase-only,quarterly,State,123.95,4.819878258481199,0.5663445558400149
AK,Alaska,1997-07-01,traditional,purchase-only,quarterly,State,124.7,4.825910852685991,0.6032594204791408
AK,Alaska,1997-10-01,traditional,purchase-only,quarterly,State,126.42,4.8396096970441524,1.3698844358161821
AK,Alaska,1998-01-01,traditional,purchase-only,quarterly,State,126.64,4.841348415572757,0.17387185286041884
AK,Alaska,1998-04-01,traditional,purchase-only,quarterly,State,128.64,4.857017805430656,1.5669389857899674
AK,Alaska,1998-07-01,traditional,purchase-only,quarterly,State,129.27,4.861903240295856,0.4885434865199656
AK,Alaska,1998-10-01,traditional,purchase-only,quarterly,State,131.11,4.876036665511311,1.413342521545502
AK,Alaska,1999-01-01,traditional,purchase-only,quarterly,State,132.57,4.887110807810759,1.1074142299447587
AK,Alaska,1999-04-01,traditional,purchase-only,quarterly,State,132.75,4.888467660122048,0.13568523112894582
AK,Alaska,1999-07-01,traditional,purchase-only,quarterly,State,133.91,4.897167932507474,0.8700272385426366
AK,Alaska,1999-10-01,traditional,purchase-only,quarterly,State,132.95,4.889973117689029,-0.7194814818445749
AK,Alaska,2000-01-01,traditional,purchase-only,quarterly,State,133.58,4.89470054929749,0.4727431608461785
AK,Alaska,2000-04-01,traditional,purchase-only,quarterly,State,135.91,4.911992901967256,1.7292352669765698
AK,Alaska,2000-07-01,traditional,purchase-only,quarterly,State,137.23,4.921658350281541,0.9665448314285285
AK,Alaska,2000-10-01,traditional,purchase-only,quarterly,State,137.87,4.9263112121835375,0.4652861901996097
AK,Alaska,2001-01-01,traditional,purchase-only,quarterly,State,141.05,4.949114437448006,2.2803225264468097
AK,Alaska,2001-04-01,traditional,purchase-only,quarterly,State,143.61,4.9671012920725275,1.7986854624521875
AK,Alaska,2001-07-01,traditional,purchase-only,quarterly,State,145.66,4.981275138789769,1.4173846717241645
AK,Alaska,2001-10-01,traditional,purchase-only,quarterly,State,149.64,5.0082324094799455,2.6957270690176394
AK,Alaska,2002-01-01,traditional,purchase-only,quarterly,State,149.89,5.009901691742504,0.16692822625588022
AK,Alaska,2002-04-01,traditional,purchase-only,quarterly,State,153.05,5.0307646653914215,2.0862973648917205
AK,Alaska,2002-07-01,traditional,purchase-only,quarterly,State,156.62,5.053822489322791,2.3057823931369903
AK,Alaska,2002-10-01,traditional,purchase-only,quarterly,State,158.12,5.063354238428484,0.9531749105692988
AK,Alaska,2003-01-01,traditional,purchase-only,quarterly,State,161.55,5.084814692270507,2.1460453842022886
AK,Alaska,2003-04-01,traditional,purchase-only,quarterly,State,163.81,5.09870721961654,1.3892527346032857
AK,Alaska,2003-07-01,traditional,purchase-only,quarterly,State,165.97,5.1118070491326275,1.3099829516087347
AK,Alaska,2003-10-01,traditional,purchase-only,quarterly,State,171.53,5.144758178421734,3.2951129289106262
AK,Alaska,2004-01-01,traditional,purchase-only,quarterly,State,175.54,5.167866937163971,2.310875874223761
AK,Alaska,2004-04-01,traditional,purchase-only,quarterly,State,178.04,5.182008244147654,1.4141306983682433
AK,Alaska,2004-07-01,traditional,purchase-only,quarterly,State,183.69,5.213249554157973,3.1241310010319268
AK,Alaska,2004-10-01,traditional,purchase-only,quarterly,State,188.43,5.238726585134399,2.5477030976426285
AK,Alaska,2005-01-01,traditional,purchase-only,quarterly,State,192.87,5.262016386821705,2.328980168730599
AK,Alaska,2005-04-01,traditional,purchase-only,quarterly,State,197.4,5.285232126999381,2.3215740177676025
AK,Alaska,2005-07-01,traditional,purchase-only,quarterly,State,205.01,5.323058758436484,3.782663143710252
AK,Alaska,2005-10-01,traditional,purchase-only,quarterly,State,207.81,5.336624200702623,1.3565442266139094
AK,Alaska,2006-01-01,traditional,purchase-only,quarterly,State,213.23,5.362371395338142,2.574719463551922
AK,Alaska,2006-04-01,traditional,purchase-only,quarterly,State,216.54,5.377775287882752,1.5403892544609832
AK,Alaska,2006-07-01,traditional,purchase-only,quarterly,State,218.5,5.3867860145356445,0.9010726652892487
AK,Alaska,2006-10-01,traditional,purchase-only,quarterly,State,219.89,5.3931274213106795,0.6341406775034919
AK,Alaska,2007-01-01,traditional,purchase-only,quarterly,State,223.5,5.409411414053624,1.6283992742944342
AK,Alaska,2007-04-01,traditional,purchase-only,quarterly,State,225.97,5.4204022470982745,1.099083304465065
AK,Alaska,2007-07-01,traditional,purchase-only,quarterly,State,224.19,5.412493906610308,-0.7908340487966292
AK,Alaska,2007-10-01,traditional,purchase-only,quarterly,State,222.93,5.406857820837487,-0.563608577282082
AK,Alaska,2008-01-01,traditional,purchase-only,quarterly,State,219.68,5.392171942019661,-1.468587881782657
AK,Alaska,2008-04-01,traditional,purchase-only,quarterly,State,223.45,5.40918767537946,1.7015733359799334
AK,Alaska,2008-07-01,traditional,purchase-only,quarterly,State,220.49,5.395852342384568,-1.3335332994891758
AK,Alaska,2008-10-01,traditional,purchase-only,quarterly,State,223.08,5.407530451521353,1.1678109136784798
AK,Alaska,2009-01-01,traditional,purchase-only,quarterly,State,226.46,5.422568328885894,1.5037877364540542
AK,Alaska,2009-04-01,traditional,purchase-only,quarterly,State,216.18,5.376111393988057,-4.645693489783653
AK,Alaska,2009-07-01,traditional,purchase-only,quarterly,State,214.79,5.369660806616172,-0.6450587371885419
AK,Alaska,2009-10-01,traditional,purchase-only,quarterly,State,215.29,5.371985956473237,0.2325149857065334
AK,Alaska,2010-01-01,traditional,purchase-only,quarterly,State,214.0,5.365976015021851,-0.6009941451385892
AK,Alaska,2010-04-01,traditional,purchase-only,quarterly,State,220.58,5.396260440878001,3.0284425856149433
AK,Alaska,2010-07-01,traditional,purchase-only,quarterly,State,221.71,5.401370221604119,0.5109780726118451
AK,Alaska,2010-10-01,traditional,purchase-only,quarterly,State,220.9,5.397710110426072,-0.36601111780472095
AK,Alaska,2011-01-01,traditional,purchase-only,quarterly,State,225.07,5.416411464930505,1.8701354504432999
AK,Alaska,2011-04-01,traditional,purchase-only,quarterly,State,221.45,5.400196830369207,-1.6214634561297459
AK,Alaska,2011-07-01,traditional,purchase-only,quarterly,State,224.9,5.41565585896527,1.5459028596062296
AK,Alaska,2011-10-01,traditional,purchase-only,quarterly,State,222.84,5.406454025152615,-0.9201833812654492
AK,Alaska,2012-01-01,traditional,purchase-only,quarterly,State,218.87,5.3884779462559935,-1.7976078896621672
AK,Alaska,2012-04-01,traditional,purchase-only,quarterly,State,222.7,5.405825574263322,1.7347628007328808
AK,Alaska,2012-07-01,traditional,purchase-only,quarterly,State,226.33,5.421994111241634,1.6168536978311998
AK,Alaska,2012-10-01,traditional,purchase-only,quarterly,State,226.01,5.420579246080992,-0.14148651606422646
AK,Alaska,2013-01-01,traditional,purchase-only,quarterly,State,228.96,5.43354731580814,1.2968069727148368
AK,Alaska,2013-04-01,traditional,purchase-only,quarterly,State,228.98,5.433634663495666,0.00873476875256074
AK,Alaska,2013-07-01,traditional,purchase-only,quarterly,State,229.38,5.435380016936376,0.174535344071014
AK,Alaska,2013-10-01,traditional,purchase-only,quarterly,State,231.48,5.444493476705638,0.9113459769261922
AK,Alaska,2014-01-01,traditional,purchase-only,quarterly,State,230.67,5.440988117712199,-0.3505358993439067
AK,Alaska,2014-04-01,traditional,purchase-only,quarterly,State,234.34,5.45677305224001,1.5784934527810712
AK,Alaska,2014-07-01,traditional,purchase-only,quarterly,State,235.46,5.4615410476500506,0.4767995410040804
AK,Alaska,2014-10-01,traditional,purchase-only,quarterly,State,239.52,5.478636920671319,1.7095873021268027
AK,Alaska,2015-01-01,traditional,purchase-only,quarterly,State,241.18,5.485543542675447,0.690662200412806
AK,Alaska,2015-04-01,traditional,purchase-only,quarterly,State,241.17,5.485502079007979,-0.004146366746748953
